wk,tr,nc,stg
34,352002,7,2
35,352002,4,2
36,352002,0,1b
37,352002,0,1b
38,352002,2,1
39,352002,0,1
40,352002,0,1
41,352002,0,1
42,352002,1,1
43,352002,0,1
44,352002,0,1
45,352002,0,1
46,352002,0,1
47,352002,0,1
48,352002,0,1
49,352002,0,1
50,352002,0,1
51,352002,1,1
52,352002,1,1
53,352002,46,1
54,352002,124,1
55,352002,220,1
56,352002,392,1
57,352002,336,1
58,352002,256,1
59,352002,312,1
60,352002,304,1
61,352002,356,1
62,352002,412,1
63,352002,472,1
64,352002,448,1
65,352002,264,1
66,352002,296,1
67,352002,232,1
68,352002,128,1
69,352002,188,1
70,352002,156,1
71,352002,108,1
72,352002,124,1
73,352002,180,1
74,352002,380,1
75,352002,572,1
76,352002,784,1
77,352002,1008,1
78,352002,1536,1
79,352002,1696,1
80,352002,3264,1
81,352002,6208,2
82,352002,4352,3
83,352002,1280,4
84,352002,192,4
85,352002,224,3
86,352002,136,3
87,352002,68,2
88,352002,85,2
89,352002,62,1b
90,352002,76,1b
91,352002,118,1
92,352002,178,1
93,352002,104,1
94,352002,36,1
95,352002,91,1
96,352002,83,1
97,352002,63,1
98,352002,104,1
99,352002,138,1
100,352002,276,1
101,352002,224,1
102,352002,208,1
103,352002,224,1
104,352002,256,1
0,470390,0,1
1,470390,1,1
2,470390,1,1
3,470390,0,1
4,470390,0,1
5,470390,1,1
6,470390,8,1
7,470390,12,2
8,470390,3,2
9,470390,4,1b
10,470390,6,1b
11,470390,25,2
12,470390,14,2
13,470390,5,2
14,470390,1,2
15,470390,0,1b
16,470390,1,1b
17,470390,0,1
18,470390,3,1b
19,470390,1,1b
20,470390,0,1b
21,470390,0,1
22,470390,0,1
23,470390,1,1
24,470390,0,1
25,470390,2,1
26,470390,23,1b
27,470390,16,2
28,470390,17,2
29,470390,8,2
30,470390,4,1b
31,470390,0,1b
32,470390,0,1
33,470390,0,1
34,470390,0,1
35,470390,0,1
36,470390,1,1
37,470390,0,1
38,470390,1,1
39,470390,0,1
40,470390,0,1
41,470390,0,1
42,470390,0,1
43,470390,0,1
44,470390,0,1
45,470390,0,1
46,470390,0,1
47,470390,1,1
48,470390,5,1b
49,470390,4,1b
50,470390,8,1
51,470390,3,1
52,470390,0,1
53,470390,37,1
54,470390,83,1
55,470390,133,1
56,470390,195,1
57,470390,276,1
58,470390,328,1
59,470390,436,1
60,470390,360,1
61,470390,256,1
62,470390,416,1
63,470390,376,1
64,470390,300,1
65,470390,264,1
66,470390,208,1
67,470390,208,1
68,470390,264,1
69,470390,504,1
70,470390,648,1
71,470390,864,1
72,470390,1328,1
73,470390,1616,1
74,470390,4240,1b
75,470390,4096,2
76,470390,2432,3
77,470390,1216,3
78,470390,896,3
79,470390,528,2
80,470390,304,2
81,470390,256,1b
82,470390,204,1b
83,470390,216,1
84,470390,196,1
85,470390,420,1
86,470390,412,1
87,470390,476,1
88,470390,464,1
89,470390,832,1
90,470390,704,1
91,470390,768,1
92,470390,288,1
93,470390,228,1
94,470390,384,1
95,470390,352,1
96,470390,928,1
97,470390,1152,1
98,470390,1552,1
99,470390,1408,1
100,470390,1600,1
101,470390,3088,1
102,470390,6336,1b
103,470390,6592,3
104,470390,4864,3
0,550047,0,1
1,550047,0,1
2,550047,0,1
3,550047,0,1
4,550047,0,1
5,550047,1,1
6,550047,2,1
7,550047,3,1
8,550047,3,1b
9,550047,1,1b
10,550047,0,1
11,550047,0,1
12,550047,1,1
13,550047,0,1
14,550047,2,1
15,550047,0,1
16,550047,1,1
17,550047,0,1
18,550047,0,1
19,550047,0,1
20,550047,0,1
21,550047,0,1
22,550047,0,1
23,550047,0,1
24,550047,0,1
25,550047,0,1
26,550047,2,1
27,550047,0,1
28,550047,0,1
29,550047,0,1
30,550047,0,1
31,550047,1,1
32,550047,0,1
33,550047,0,1
34,550047,0,1
35,550047,1,1
36,550047,1,1
37,550047,0,1
38,550047,0,1
39,550047,0,1
40,550047,0,1
41,550047,1,1
42,550047,0,1
43,550047,1,1
44,550047,0,1
45,550047,0,1
46,550047,1,1
47,550047,0,1
48,550047,1,1
49,550047,0,1
50,550047,0,1
51,550047,0,1
52,550047,1,1
53,550047,55,1
54,550047,139,1
55,550047,192,1
56,550047,184,1
57,550047,136,1
58,550047,92,1
59,550047,84,1
60,550047,136,1
61,550047,280,1
62,550047,432,1
63,550047,444,1
64,550047,480,1
65,550047,400,1
66,550047,348,1
67,550047,176,1
68,550047,112,1
69,550047,264,1
70,550047,172,1
71,550047,284,1
72,550047,216,1
73,550047,232,1
74,550047,204,1
75,550047,192,1
76,550047,224,1
77,550047,228,1
78,550047,228,1
79,550047,256,1
80,550047,212,1
81,550047,340,1
82,550047,404,1
83,550047,488,1
84,550047,228,1
85,550047,196,1
86,550047,128,1
87,550047,144,1
88,550047,120,1
89,550047,116,1
90,550047,196,1
91,550047,244,1
92,550047,312,1
93,550047,300,1
94,550047,388,1
95,550047,632,1
96,550047,688,1
97,550047,416,1
98,550047,784,1
99,550047,704,1
100,550047,1152,1
101,550047,1456,1
102,550047,1280,1
103,550047,976,1
104,550047,432,1
0,977815,0,1
1,977815,3,1
2,977815,18,2
3,977815,19,2
4,977815,6,2
5,977815,0,1b
6,977815,1,1b
7,977815,1,1
8,977815,0,1
9,977815,1,1
10,977815,0,1
11,977815,0,1
12,977815,0,1
13,977815,1,1
14,977815,1,1
15,977815,0,1
16,977815,0,1
17,977815,0,1
18,977815,0,1
19,977815,0,1
20,977815,0,1
21,977815,1,1
22,977815,0,1
23,977815,1,1
24,977815,0,1
25,977815,0,1
26,977815,0,1
27,977815,0,1
28,977815,0,1
29,977815,1,1
30,977815,0,1
31,977815,0,1
32,977815,0,1
33,977815,1,1
34,977815,3,1
35,977815,0,1b
36,977815,1,1b
37,977815,0,1
38,977815,1,1
39,977815,1,1
40,977815,0,1
41,977815,2,1
42,977815,2,1
43,977815,1,1b
44,977815,0,1b
45,977815,1,1
46,977815,2,1
47,977815,3,1
48,977815,5,1b
49,977815,1,1b
50,977815,1,1b
51,977815,1,1
52,977815,1,1
53,977815,42,1
54,977815,102,1
55,977815,154,1
56,977815,252,1
57,977815,292,1
58,977815,324,1
59,977815,420,1
60,977815,656,1
61,977815,416,1
62,977815,1008,1
63,977815,800,1
64,977815,960,1
65,977815,640,1
66,977815,864,1
67,977815,1088,1
68,977815,1104,1
69,977815,1632,1
70,977815,2144,1b
71,977815,1792,1b
72,977815,2496,2
73,977815,768,2
74,977815,864,1b
75,977815,544,1b
76,977815,656,1
77,977815,880,1
78,977815,944,1
79,977815,768,1
80,977815,624,1
81,977815,1200,1
82,977815,1088,1
83,977815,784,1
84,977815,2000,1
85,977815,3152,1b
86,977815,3456,2
87,977815,5184,3
88,977815,2496,4
89,977815,320,4
90,977815,304,3
91,977815,196,3
92,977815,68,2
93,977815,68,2
94,977815,101,1b
95,977815,183,1b
96,977815,248,1
97,977815,304,1
98,977815,292,1
99,977815,336,1
100,977815,572,1
101,977815,1312,1
102,977815,1728,1
103,977815,2016,1
104,977815,2496,1
0,1022892,0,1
1,1022892,0,1
2,1022892,0,1
3,1022892,1,1
4,1022892,0,1
5,1022892,0,1
6,1022892,0,1
7,1022892,1,1
8,1022892,0,1
9,1022892,1,1
10,1022892,0,1
11,1022892,0,1
12,1022892,1,1
13,1022892,0,1
14,1022892,0,1
15,1022892,1,1
16,1022892,4,1
