"wk","tr","nc","stg","id"
0,"3541022892",0.0,"1",35410228921
1,"3541022892",0.0,"1",35410228921
2,"3541022892",0.0,"1",35410228921
3,"3541022892",0.14285714285714285,"1",35410228921
4,"3541022892",0.0,"1",35410228921
5,"3541022892",0.0,"1",35410228921
6,"3541022892",0.0,"1",35410228921
7,"3541022892",0.14285714285714285,"1",35410228921
7,"3541022892",0.14285714285714285,"1b",35410228922
8,"3541022892",0.14285714285714285,"1b",35410228922
9,"3541022892",0.14285714285714285,"1b",35410228922
9,"3541022892",0.14285714285714285,"1",35410228923
10,"3541022892",0.0,"1",35410228923
11,"3541022892",0.0,"1",35410228923
12,"3541022892",0.14285714285714285,"1",35410228923
13,"3541022892",0.0,"1",35410228923
14,"3541022892",0.0,"1",35410228923
15,"3541022892",0.14285714285714285,"1",35410228923
15,"3541022892",0.14285714285714285,"1b",35410228924
16,"3541022892",0.2857142857142857,"1b",35410228924
17,"3541022892",0.0,"1b",35410228924
17,"3541022892",0.0,"1",35410228925
18,"3541022892",0.0,"1",35410228925
19,"3541022892",0.0,"1",35410228925
20,"3541022892",0.0,"1",35410228925
21,"3541022892",0.0,"1",35410228925
22,"3541022892",0.0,"1",35410228925
23,"3541022892",0.0,"1",35410228925
24,"3541022892",0.0,"1",35410228925
25,"3541022892",0.2857142857142857,"1",35410228925
26,"3541022892",1.2857142857142858,"1",35410228925
27,"3541022892",1.5714285714285714,"1",35410228925
28,"3541022892",0.0,"1",35410228925
29,"3541022892",0.0,"1",35410228925
30,"3541022892",0.14285714285714285,"1",35410228925
31,"3541022892",0.0,"1",35410228925
32,"3541022892",0.0,"1",35410228925
33,"3541022892",0.0,"1",35410228925
34,"3541022892",0.0,"1",35410228925
35,"3541022892",0.0,"1",35410228925
36,"3541022892",0.0,"1",35410228925
37,"3541022892",0.14285714285714285,"1",35410228925
38,"3541022892",0.0,"1",35410228925
39,"3541022892",0.14285714285714285,"1",35410228925
40,"3541022892",0.14285714285714285,"1",35410228925
41,"3541022892",0.5714285714285714,"1",35410228925
42,"3541022892",0.5714285714285714,"1",35410228925
43,"3541022892",0.0,"1",35410228925
44,"3541022892",0.0,"1",35410228925
45,"3541022892",0.0,"1",35410228925
46,"3541022892",0.0,"1",35410228925
47,"3541022892",0.0,"1",35410228925
48,"3541022892",0.0,"1",35410228925
49,"3541022892",0.0,"1",35410228925
50,"3541022892",0.14285714285714285,"1",35410228925
